scenario,family,phase,time_s,method,budget,tracked_prn_count,used_prn_count,prn_scores_json,pooled_score,calibrated_score
cleanStatic,cleanStatic,calibration,64.017588272,active_adaptive,3,10,10,"{""10"": 2.099872125732889, ""13"": 4.372782744351191, ""16"": 2.7500364059355005, ""19"": 3.1150115392879996, ""20"": 5.738846427841724, ""23"": 3.6619538237596, ""3"": 2.1466934448138932, ""30"": 6.381695912893726, ""6"": 2.929488717779042, ""7"": 1.1569203440616216}",3.022250128533521,0.22583694087424427
cleanStatic,cleanStatic,calibration,64.017588272,active_adaptive,5,10,10,"{""10"": 0.2869388187440968, ""13"": 2.4219224944158655, ""16"": 1.1517999300876114, ""19"": 1.4817647577755664, ""20"": 3.7394769406303867, ""23"": 1.7401546592827373, ""3"": 0.5980392304140478, ""30"": 3.8108147103767167, ""6"": 1.3104684626952512, ""7"": -0.32230101654978094}",1.3961166102354088,0.5817601818353735
cleanStatic,cleanStatic,calibration,64.017588272,active_adaptive,9,10,10,"{""10"": -1.7667950630735128, ""13"": 0.040423889938502294, ""16"": -0.7829904565618805, ""19"": -0.6316376362756753, ""20"": 1.2948825089622107, ""23"": -0.4980529106994525, ""3"": -1.3056598534863795, ""30"": 1.010238263948512, ""6"": -0.6742389546395116, ""7"": -2.0155532633692292}",-0.6529382954575934,0.7727453127042324
cleanStatic,cleanStatic,calibration,64.017588272,active_adaptive,16,10,10,"{""10"": -3.1333841809256096, ""13"": -1.8590868464810562, ""16"": -2.2945784745566558, ""19"": -2.300847116522032, ""20"": -0.5645668400624655, ""23"": -2.1866602841188834, ""3"": -2.790260084113749, ""30"": -0.8407746491944267, ""6"": -2.235024815420779, ""7"": -3.38650912944801}",-2.2648016449887174,0.9063781047600739
cleanStatic,cleanStatic,calibration,64.017588272,active_context,9,10,10,"{""10"": -1.8334577771340663, ""13"": -1.8996353829880464, ""16"": -1.6357601442498153, ""19"": -2.241280838339959, ""20"": -1.6257332431566611, ""23"": -1.2607910397478963, ""3"": -2.0192177716593314, ""30"": -2.4652003118457504, ""6"": -2.0162132106110007, ""7"": -3.177351327247735}",-1.9579242967995234,0.3430225966395043
cleanStatic,cleanStatic,calibration,64.017588272,active_magnitude,3,10,10,"{""10"": 2.52762813740774, ""13"": 2.4641358334650993, ""16"": 2.6297630584096408, ""19"": 2.6976510767980564, ""20"": 2.163561115665063, ""23"": 2.6276130703066927, ""3"": 2.5464390121537575, ""30"": 2.051253393519714, ""6"": 2.753119158320844, ""7"": 2.203740427337086}",2.5370335747807484,0.9115130209435061
cleanStatic,cleanStatic,calibration,64.017588272,active_magnitude,5,10,10,"{""10"": 2.2358934570312217, ""13"": 2.304673790966381, ""16"": 2.398108487019844, ""19"": 2.4917282884900853, ""20"": 2.1592646844476837, ""23"": 2.436875010647001, ""3"": 2.332622674472026, ""30"": 1.9993296900656883, ""6"": 2.5273732129610122, ""7"": 1.9950609046015102}",2.3186482327192035,0.6114921008934138
cleanStatic,cleanStatic,calibration,64.017588272,active_magnitude,9,10,10,"{""10"": 1.7711851951619917, ""13"": 1.949104773563059, ""16"": 2.0038499921974124, ""19"": 2.0620668703108316, ""20"": 1.8316076777879369, ""23"": 2.038206870072908, ""3"": 1.8953183595058631, ""30"": 1.7051390201176087, ""6"": 2.070087481303424, ""7"": 1.6238246076465683}",1.922211566534461,0.2631567192245998
cleanStatic,cleanStatic,calibration,64.017588272,active_no_context,9,10,10,"{""10"": -1.7667950630735128, ""13"": 0.040423889938502294, ""16"": -0.7829904565618805, ""19"": -0.6316376362756753, ""20"": 1.2948825089622107, ""23"": -0.4980529106994525, ""3"": -1.3056598534863795, ""30"": 1.010238263948512, ""6"": -0.6742389546395116, ""7"": -2.0155532633692292}",-0.6529382954575934,0.7727453127042324
cleanStatic,cleanStatic,calibration,64.017588272,analytic_two_source_glrt,187,10,10,"{""10"": 0.3601701915957489, ""13"": 0.10212052171045755, ""16"": 0.02750287454832001, ""19"": 0.18915016238794852, ""20"": 0.6144180059292281, ""23"": 0.21234332322747645, ""3"": 0.1272644268908451, ""30"": 0.26999887402589984, ""6"": 0.14258234264138486, ""7"": 0.3252758247810189}",0.20074674280771249,-0.10411507346044095
cleanStatic,cleanStatic,calibration,64.017588272,dense_nf,187,10,10,"{""10"": -4.333019733428955, ""13"": -4.01236629486084, ""16"": -4.030411720275879, ""19"": -4.423375606536865, ""20"": -3.90274715423584, ""23"": -4.176143646240234, ""3"": -4.267282962799072, ""30"": -4.1781158447265625, ""6"": -4.158618450164795, ""7"": -4.420114040374756}",-4.177129745483398,0.9087258617578055
cleanStatic,cleanStatic,calibration,64.017588272,dense_one_source_residual,187,10,10,"{""10"": 1.412088278582715, ""13"": 0.30182588104125596, ""16"": 0.29177161013122177, ""19"": 0.40446129217866916, ""20"": 1.8708289205063633, ""23"": 0.377060856926442, ""3"": 0.3975529787919443, ""30"": 1.4162276335152102, ""6"": 0.38247491973182063, ""7"": 0.6815630277709877}",0.40100713548530675,-0.5578582859694748
cleanStatic,cleanStatic,calibration,64.017588272,epl_3,3,10,10,"{""10"": -4.670385149675485, ""13"": -4.671579286017706, ""16"": -4.758074930775389, ""19"": -4.734587437261708, ""20"": -4.672199707291288, ""23"": -4.665790475862224, ""3"": -4.706493847184457, ""30"": -4.567847004752192, ""6"": -4.719600420927942, ""7"": -4.667582993577827}",-4.671889496654497,0.9778569905291841
cleanStatic,cleanStatic,calibration,64.017588272,epl_3_complex,3,10,10,"{""10"": 0.0018814378716564993, ""13"": 0.00027019703669721467, ""16"": 0.00025501799712831743, ""19"": 0.0004283982039842162, ""20"": 0.0032103249527379546, ""23"": 0.00043945506587758626, ""3"": 0.0008636732626317985, ""30"": 0.0009041996070940136, ""6"": 0.00037973522344854495, ""7"": 0.00036380559073053586}",0.0004339266349309012,-0.8571774249373957
