scenario,threshold,comparison,held_out_clean_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection,persistent_detection,first_sustained_3_delay_s,q99,q995,count,alarms,exact_binomial_ci_low,exact_binomial_ci_high,held_out_clean_exact_binomial_ci_low,held_out_clean_exact_binomial_ci_high,held_out_clean_count,stable_pre_exact_binomial_ci_low,stable_pre_exact_binomial_ci_high,stable_pre_count,post_exact_binomial_ci_low,post_exact_binomial_ci_high,post_count,persistent_exact_binomial_ci_low,persistent_exact_binomial_ci_high,persistent_count,model,operating_point,calibration_q99,calibration_q995,calibration_count,model_seed,policy_seed,seed_count,held_out_clean_fpr_mean,held_out_clean_fpr_std,stable_pre_fpr_mean,stable_pre_fpr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,post_detection_mean,post_detection_std,persistent_detection_mean,persistent_detection_std
cleanStatic,0.1175137273712947,strict_greater,0.009345794392523364,,,,,,,0.08410031959675936,0.12180454894276349,107,1,0.0002365870367625985,0.05097254256944198,0.0002365870367625985,0.05097254256944198,107,,,0,,,0,,,0,seed::complex IG K5::model101::policyNone,q99,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
cleanStatic,0.1261937514113483,strict_greater,0.0,,,,,,,0.08410031959675936,0.12180454894276349,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,seed::complex IG K5::model101::policyNone,q995,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS1,0.1175137273712947,strict_greater,,0.37,0.9797510373443984,0.9973535200790998,0.9778699861687413,1.0,0.0,0.31095050477858244,0.31095050477858244,723,707,0.9643104995137608,0.9872991311635048,,,0,0.2755665796145515,0.47235164055168316,100,0.9643104995137608,0.9872991311635048,723,0.9942794430126666,1.0,643,seed::complex IG K5::model101::policyNone,q99,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS1,0.1261937514113483,strict_greater,,0.34,0.9797510373443984,0.9973535200790998,0.9723374827109267,1.0,0.0,0.31095050477858244,0.31095050477858244,723,703,0.9575996746290225,0.9830229166940828,,,0,0.24822350154484418,0.4415332677509589,100,0.9575996746290225,0.9830229166940828,723,0.9942794430126666,1.0,643,seed::complex IG K5::model101::policyNone,q995,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS2,0.1175137273712947,strict_greater,,0.36,0.6899579831932773,0.9318563516056902,0.603641456582633,0.5615141955835962,0.0,0.22939625404221717,0.22939625404221717,714,431,0.5666949239003148,0.6397279561098445,,,0,0.2664084227332345,0.46212189332742326,100,0.5666949239003148,0.6397279561098445,714,0.5218901121397572,0.600562907459657,634,seed::complex IG K5::model101::policyNone,q99,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS2,0.1261937514113483,strict_greater,,0.29,0.6899579831932773,0.9318563516056902,0.5238095238095238,0.47634069400630913,0.0,0.22939625404221717,0.22939625404221717,714,374,0.48644199673390376,0.5609795760326297,,,0,0.2035741892507318,0.3892659589074483,100,0.48644199673390376,0.5609795760326297,714,0.4368638499263697,0.5160387979536065,634,seed::complex IG K5::model101::policyNone,q995,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS3,0.1175137273712947,strict_greater,,0.39,0.44459497206703913,0.8986871479003302,0.3729050279329609,0.3050314465408805,0.0,0.2298439853752377,0.2298439853752377,716,267,0.3373723921950746,0.40948963915816594,,,0,0.294010414853417,0.49268552036763646,100,0.3373723921950746,0.40948963915816594,716,0.26943826676509314,0.3424460868598436,636,seed::complex IG K5::model101::policyNone,q99,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS3,0.1261937514113483,strict_greater,,0.29,0.44459497206703913,0.8986871479003302,0.3477653631284916,0.2830188679245283,0.0,0.2298439853752377,0.2298439853752377,716,249,0.3128709781961946,0.3839202879074212,,,0,0.2035741892507318,0.3892659589074483,100,0.3128709781961946,0.3839202879074212,716,0.24829962091539526,0.3197664578106468,636,seed::complex IG K5::model101::policyNone,q995,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS7,0.1175137273712947,strict_greater,,1.0,0.17930944963655243,0.5714262072106789,1.0,1.0,0.0,2.041281482608227,2.043357585525005,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex IG K5::model101::policyNone,q99,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS7,0.1261937514113483,strict_greater,,1.0,0.17930944963655243,0.5714262072106789,1.0,1.0,0.0,2.041281482608227,2.043357585525005,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex IG K5::model101::policyNone,q995,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS8,0.1175137273712947,strict_greater,,1.0,0.2286226851851852,0.7592934449121022,1.0,1.0,0.0,2.0344654411311778,2.0377306937867585,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex IG K5::model101::policyNone,q99,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
DS8,0.1261937514113483,strict_greater,,1.0,0.2286226851851852,0.7592934449121022,1.0,1.0,0.0,2.0344654411311778,2.0377306937867585,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex IG K5::model101::policyNone,q995,0.1175137273712947,0.1261937514113483,125,101,None,,,,,,,,,,,,,
cleanStatic,1.131444874966194,strict_greater,0.0,,,,,,,1.1274443678211532,1.1276041456616044,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,seed::complex IG K5::model202::policyNone,q99,1.131444874966194,1.1315711904946237,125,202,None,,,,,,,,,,,,,
cleanStatic,1.1315711904946237,strict_greater,0.0,,,,,,,1.1274443678211532,1.1276041456616044,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,seed::complex IG K5::model202::policyNone,q995,1.131444874966194,1.1315711904946237,125,202,None,,,,,,,,,,,,,
DS1,1.131444874966194,strict_greater,,0.02,0.9679529737206086,0.9957944310656629,0.9239280774550485,0.9937791601866252,26.5,1.1333691820357388,1.1333691820357388,723,668,0.9021305802278542,0.9421809859920299,,,0,0.0024313368239425423,0.07038393247107011,100,0.9021305802278542,0.9421809859920299,723,0.9841493424168364,0.9983025064593728,643,seed::complex IG K5::model202::policyNone,q99,1.131444874966194,1.1315711904946237,125,202,None,,,,,,,,,,,,,
DS1,1.1315711904946237,strict_greater,,0.02,0.9679529737206086,0.9957944310656629,0.9239280774550485,0.9937791601866252,26.5,1.1333691820357388,1.1333691820357388,723,668,0.9021305802278542,0.9421809859920299,,,0,0.0024313368239425423,0.07038393247107011,100,0.9021305802278542,0.9421809859920299,723,0.9841493424168364,0.9983025064593728,643,seed::complex IG K5::model202::policyNone,q995,1.131444874966194,1.1315711904946237,125,202,None,,,,,,,,,,,,,
DS2,1.131444874966194,strict_greater,,0.01,0.2549719887955182,0.809332904402697,0.012605042016806723,0.007886435331230283,,1.1340612738343276,1.1340612738343276,714,9,0.005779587788306941,0.02379294158690237,,,0,0.00025314603297742064,0.054459385392080645,100,0.005779587788306941,0.02379294158690237,714,0.0025655191670105127,0.01830768932163372,634,seed::complex IG K5::model202::policyNone,q99,1.131444874966194,1.1315711904946237,125,202,None,,,,,,,,,,,,,
